transport,cls,mode,loss_pct,rtt_ms,rate,run,seed,sent,tx_datagrams,tx_payload_bytes
taut,2,latency,10.000000,30.000000,500.000000,4,4,4976,6310,3363230
tcp,,latency,10.000000,30.000000,500.000000,5,5,831,831,425472
enet,,latency,10.000000,30.000000,500.000000,5,5,5003,5003,2561536
taut,1,latency,10.000000,30.000000,500.000000,5,5,5003,6371,3395743
taut,2,latency,10.000000,30.000000,500.000000,5,5,5003,6320,3368560
tcp,,latency,20.000000,30.000000,500.000000,1,1,338,338,173056
enet,,latency,20.000000,30.000000,500.000000,1,1,4905,4905,2511360
taut,1,latency,20.000000,30.000000,500.000000,1,1,4905,6579,3506607
taut,2,latency,20.000000,30.000000,500.000000,1,1,4905,7125,3797625
tcp,,latency,20.000000,30.000000,500.000000,2,2,269,269,137728
enet,,latency,20.000000,30.000000,500.000000,2,2,5104,5104,2613248
taut,1,latency,20.000000,30.000000,500.000000,2,2,5104,6949,3703817
taut,2,latency,20.000000,30.000000,500.000000,2,2,5104,7122,3796026
tcp,,latency,20.000000,30.000000,500.000000,3,3,217,217,111104
enet,,latency,20.000000,30.000000,500.000000,3,3,4998,4998,2558976
taut,1,latency,20.000000,30.000000,500.000000,3,3,4998,8481,4520373
taut,2,latency,20.000000,30.000000,500.000000,3,3,4998,7725,4117425
tcp,,latency,20.000000,30.000000,500.000000,4,4,384,384,196608
enet,,latency,20.000000,30.000000,500.000000,4,4,4976,4976,2547712
taut,1,latency,20.000000,30.000000,500.000000,4,4,4976,7045,3754985
taut,2,latency,20.000000,30.000000,500.000000,4,4,4976,6640,3539120
tcp,,latency,20.000000,30.000000,500.000000,5,5,282,282,144384
enet,,latency,20.000000,30.000000,500.000000,5,5,5003,5003,2561536
taut,1,latency,20.000000,30.000000,500.000000,5,5,5003,6909,3682497
taut,2,latency,20.000000,30.000000,500.000000,5,5,5003,7236,3856788
tcp,,throughput,0.000000,30.000000,500.000000,1,1,528440,528440,270561280
enet,,throughput,0.000000,30.000000,500.000000,1,1,2306743,2306743,1181052416
taut,1,throughput,0.000000,30.000000,500.000000,1,1,20949,21836,11638588
taut,2,throughput,0.000000,30.000000,500.000000,1,1,21184,21824,11632192
tcp,,throughput,0.000000,30.000000,500.000000,2,2,526814,526814,269728768
enet,,throughput,0.000000,30.000000,500.000000,2,2,4156494,4156494,2128124928
taut,1,throughput,0.000000,30.000000,500.000000,2,2,21056,21244,11323052
taut,2,throughput,0.000000,30.000000,500.000000,2,2,21184,21927,11687091
tcp,,throughput,0.000000,30.000000,500.000000,3,3,427671,427671,218967552
taut,1,throughput,0.000000,30.000000,500.000000,3,3,20934,21434,11424322
taut,2,throughput,0.000000,30.000000,500.000000,3,3,21184,22071,11763843
tcp,,throughput,0.000000,30.000000,500.000000,4,4,515809,515809,264094208
taut,1,throughput,0.000000,30.000000,500.000000,4,4,20876,21931,11689223
taut,2,throughput,0.000000,30.000000,500.000000,4,4,19777,21383,11397139
tcp,,throughput,0.000000,30.000000,500.000000,5,5,510167,510167,261205504
taut,1,throughput,0.000000,30.000000,500.000000,5,5,21184,21756,11595948
taut,2,throughput,0.000000,30.000000,500.000000,5,5,21184,21709,11570897
