transport,cls,mode,loss_pct,rtt_ms,rate,run,seed,sent,replies,p50_ms,p90_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms
enet,,rr,10.000000,30.000000,500.000000,5,5,170,170,35.705225,141.089367,336.350306,454.335975,30.456145,454.335975,58.839198
taut,1,rr,10.000000,30.000000,500.000000,5,5,266,266,30.186206,61.268396,123.428758,247.537800,30.046946,247.537800,37.596607
taut,2,rr,10.000000,30.000000,500.000000,5,5,267,267,30.203056,61.272689,123.250775,247.289853,30.042129,247.289853,37.546123
tcp,,rr,20.000000,30.000000,500.000000,1,1,56,56,43.023444,353.951122,3363.225723,3363.225723,30.919324,3363.225723,179.164045
enet,,rr,20.000000,30.000000,500.000000,1,1,60,59,35.624695,200.858697,4597.381889,4597.381889,30.681152,4597.381889,166.677035
taut,1,rr,20.000000,30.000000,500.000000,1,1,184,184,30.253018,92.298270,495.313622,630.423083,30.031388,630.423083,54.385738
taut,2,rr,20.000000,30.000000,500.000000,1,1,170,170,30.243781,123.195108,263.522940,465.113027,30.038971,465.113027,58.842648
tcp,,rr,20.000000,30.000000,500.000000,2,2,39,39,41.640601,559.706363,4369.432914,4369.432914,32.949698,4369.432914,261.477288
enet,,rr,20.000000,30.000000,500.000000,2,2,19,19,38.037846,2288.273701,4816.256190,4816.256190,31.269354,4816.256190,527.330178
taut,1,rr,20.000000,30.000000,500.000000,2,2,194,194,30.243925,63.058210,495.342304,495.656318,30.062237,495.656318,51.719610
taut,2,rr,20.000000,30.000000,500.000000,2,2,174,174,30.205787,105.151963,496.005321,630.217401,30.037031,630.217401,57.667145
tcp,,rr,20.000000,30.000000,500.000000,3,3,9,9,43.378176,5561.926719,5561.926719,5561.926719,41.409671,5561.926719,1241.857988
enet,,rr,20.000000,30.000000,500.000000,3,3,105,105,36.648863,236.823787,559.428726,935.296680,30.541985,935.296680,95.589249
taut,1,rr,20.000000,30.000000,500.000000,3,3,196,196,30.257284,92.370675,281.468367,495.484859,30.044359,495.484859,51.429398
taut,2,rr,20.000000,30.000000,500.000000,3,3,194,194,30.219310,92.264301,278.199191,495.384544,30.038263,495.384544,51.824530
tcp,,rr,20.000000,30.000000,500.000000,4,4,46,46,43.306771,615.092460,1859.846519,1859.846519,30.757625,1859.846519,217.541620
enet,,rr,20.000000,30.000000,500.000000,4,4,71,71,34.633133,196.035438,2997.253929,2997.253929,30.491235,2997.253929,143.345358
taut,1,rr,20.000000,30.000000,500.000000,4,4,223,223,30.208707,62.165371,129.208424,247.622516,30.033678,247.622516,44.970035
taut,2,rr,20.000000,30.000000,500.000000,4,4,190,190,30.222079,92.273137,247.395301,303.148964,30.056544,303.148964,52.643692
tcp,,rr,20.000000,30.000000,500.000000,5,5,41,41,41.430604,706.136581,1434.036589,1434.036589,30.786043,1434.036589,251.512632
enet,,rr,20.000000,30.000000,500.000000,5,5,120,120,35.436225,143.956128,544.371060,723.025465,30.364017,723.025465,83.414325
taut,1,rr,20.000000,30.000000,500.000000,5,5,198,198,30.232832,92.259920,247.173414,247.262406,30.029489,247.262406,50.680434
taut,2,rr,20.000000,30.000000,500.000000,5,5,186,186,30.214739,92.203570,300.175366,735.204658,30.024752,735.204658,53.868178
tcp,,latency,0.000000,30.000000,500.000000,1,1,4905,4905,15.057694,15.088328,15.965015,29.051674,15.010428,35.376183,15.110957
enet,,latency,0.000000,30.000000,500.000000,1,1,4905,4905,15.059268,15.084131,15.281003,16.373553,15.012582,17.543153,15.065929
taut,1,latency,0.000000,30.000000,500.000000,1,1,4905,4905,15.124745,15.201409,15.759624,18.089242,15.011283,19.176982,15.144332
taut,2,latency,0.000000,30.000000,500.000000,1,1,4905,4905,15.129466,15.217003,72.091290,126.645797,15.009271,128.421037,16.173171
tcp,,latency,0.000000,30.000000,500.000000,2,2,5104,5104,15.064722,15.102863,15.458430,17.900783,15.014145,28.059892,15.083198
enet,,latency,0.000000,30.000000,500.000000,2,2,5104,5104,15.057812,15.083213,15.136897,16.193736,15.011030,17.221434,15.061866
taut,1,latency,0.000000,30.000000,500.000000,2,2,5104,5104,15.153382,15.333213,67.780114,85.298582,15.012201,90.079781,17.095580
